Organization Name,CID,Column1,Program,Region,Company Website,Address,Address2,Address3,City,State,Zip
"Dynegy Energy Services, LLC",C004049,"Vistra Corp. 6555 Sierra Drive, Irving, TX 75039",FPA (Market Based Rate) Public Utilities,Western,www.vistracorp.com,Vistra Corp.,6555 Sierra Drive,,Irving,TX,75039
"Dynegy Marketing and Trade, LLC",C000722,"Vistra Corp. 6555 Sierra Drive, Irving, TX 75039",FPA (Market Based Rate) Public Utilities,Western,www.vistracorp.com,Vistra Corp.,6555 Sierra Drive,,Irving,TX,75039
"Dynegy Morro Bay, LLC",C000725,"1000 Louisiana Street, Suite 5800, Houston, TX 77002",FPA (Market Based Rate) Public Utilities,Western,www.dynegy.com,"1000 Louisiana Street, Suite 5800",,,Houston,TX,77002
"Dynegy Power Marketing, LLC",C000731,"Vistra Corp. 6555 Sierra Drive, Irving, TX 75039",FPA (Market Based Rate) Public Utilities,Western,www.vistracorp.com,Vistra Corp.,6555 Sierra Drive,,Irving,TX,75039
"Dynegy Resources Management, LLC",C001875,"Vistra Corp. 6555 Sierra Drive, Irving, TX 75039",FPA (Market Based Rate) Public Utilities,Western,www.vistracorp.com,Vistra Corp.,6555 Sierra Drive,,Irving,TX,75039
"Dynegy Roseton, L.L.C.",C000732,"1000 Louisiana Street, Suite 5800, Houston, TX 77002",FPA (Market Based Rate) Public Utilities,Western,www.dynegy.com,"1000 Louisiana Street, Suite 5800",,,Houston,TX,77002
Dyon LLC,C001152,"405 Penn Road, Wynnewood, PA 19096",FPA (Market Based Rate) Public Utilities,Western,www.bgllp.com,405 Penn Road,,,Wynnewood,PA,19096
E Minus LLC,C002726,"11231 US Highway 1 Suite 317, North Palm Beach, FL 33408",FPA (Market Based Rate) Public Utilities,Western,www.eminusllc.com,11231 US Highway 1 Suite 317,,,North Palm Beach,FL,33408
E. BarreCo Corp LLC,C011104,"1601 Utica Avenue South Suite 1000, Minneapolis, MN 55416",FPA (Market Based Rate) Public Utilities,Western,https://abcarval.com/,1601 Utica Avenue South,Suite 1000,,Minneapolis,MN,55416
E. I. du Pont de Nemours and Company,C001299,"974 Centre Road, Wilmington, DE 19805",FPA (Market Based Rate) Public Utilities,Western,www2.dupont.com/DuPont_Home/en_US/index.html,974 Centre Road,,,Wilmington,DE,19805
"Eagle Power Authority, Inc.",C001971,"304 Whittier Street, Bronx, NY 10474",FPA (Market Based Rate) Public Utilities,Western,http://www.eaglepower.com/,304 Whittier Street,,,Bronx,NY,10474
"Eagle's View Partners, Ltd.",C008903,"13-15 West 54th Street, 3rd Floor, New York, NY 10019",FPA (Market Based Rate) Public Utilities,Western,www.evhedge.com,"13-15 West 54th Street, 3rd Floor",,,New York,NY,10019
"Earp Solar, LLC",C012013,"2650 Locust Street, Suite 100, St Louis, MO 63103",FPA (Market Based Rate) Public Utilities,Western,https://birchcreekdev.com/,"2650 Locust Street, Suite 100",,,St Louis,MO,63103
"Earthrise Crete Interconnection, LLC",C011854,"3033 Wilson Blvd. Suite 700, Arlington, VA 22201",FPA (Market Based Rate) Public Utilities,Western,www.earthriseenergy.com,3033 Wilson Blvd.,Suite 700,,Arlington,VA,22201
"Earthrise Gibson City Interconnection, LLC",C011852,"3033 Wilson Blvd. Suite 700, Arlington, VA 22201",FPA (Market Based Rate) Public Utilities,Western,www.earthriseenergy.com,3033 Wilson Blvd.,Suite 700,,Arlington,VA,22201
"Earthrise Lincoln Interconnection, LLC",C011850,"3033 Wilson Blvd. Suite 700, Arlington, VA 22201",FPA (Market Based Rate) Public Utilities,Western,www.earthriseenergy.com,3033 Wilson Blvd.,Suite 700,,Arlington,VA,22201
"Earthrise Shelby County Interconnection, LLC",C011853,"3033 Wilson Blvd. Suite 700, Arlington, VA 22201",FPA (Market Based Rate) Public Utilities,Western,www.earthriseenergy.com,3033 Wilson Blvd.,Suite 700,,Arlington,VA,22201
"Earthrise Tilton Interconnection, LLC",C011851,"3033 Wilson Blvd. Suite 700, Arlington, VA 22201",FPA (Market Based Rate) Public Utilities,Western,www.earthriseenergy.com,3033 Wilson Blvd.,Suite 700,,Arlington,VA,22201
"East Avenue Energy, LLC",C002233,"5 Dartmouth Drive, Suite 301, Auburn, NH 03032",FPA (Market Based Rate) Public Utilities,Western,www.felpower.com,"5 Dartmouth Drive, Suite 301",,,Auburn,NH,03032
"East Coast Power & Gas of New Jersey, LLC",C005023,"340 Jackson Ave., Bronx, NY 10454",FPA (Market Based Rate) Public Utilities,Western,www.ecpowerandgas.com,340 Jackson Ave.,,,Bronx,NY,10454
"East Coast Power and Gas, LLC",C002782,"340 Jackson Ave, Bronx, NY 10454",FPA (Market Based Rate) Public Utilities,Western,www.ecpg.com,340 Jackson Ave,,,Bronx,NY,10454
"East Coast Power Linden Holding, L.L.C.",C001433,"PO Box 4400, Linden, NJ 07036",FPA (Market Based Rate) Public Utilities,Western,www.jera.co.jp.com,PO Box 4400,,,Linden,NJ,07036
"East Fork Wind Project, LLC",C010460,"1360 Post Oak Blvd. Suite 400, Houston, TX 77056",FPA (Market Based Rate) Public Utilities,Western,www.engie-na.com,1360 Post Oak Blvd.,Suite 400,,Houston,TX,77056
"East Line Solar, LLC",C010713,"sPower 2180 South 1300 East, Suite 600, Salt Lake City, UT 84106",FPA (Market Based Rate) Public Utilities,Western,www.spower.com,sPower,"2180 South 1300 East, Suite 600",,Salt Lake City,UT,84106
"Eastern Landfill Gas, LLC",C001474,"1310 Point Street, 8th Floor, Baltimore, MD 21231",FPA (Market Based Rate) Public Utilities,Western,www.constellationenergy.com,"1310 Point Street, 8th Floor",,,Baltimore,MD,21231
Eastern Power & Gas LLC,C011806,"20801 Biscayne Blvd., Suite 403, Miami, FL 33180",FPA (Market Based Rate) Public Utilities,Western,www.easternpng.com,"20801 Biscayne Blvd., Suite 403",,,Miami,FL,33180
Eastern Shore Solar LLC,C005263,"120 Tredegar Street, Richmond, VA 23219",FPA (Market Based Rate) Public Utilities,Western,www.dominionenergy.com,120 Tredegar Street,,,Richmond,VA,23219
Eastman Cogeneration LP,C002648,"200 S. Wilcox Dr.  B-280, Kingsport, TN 37662",FPA (Market Based Rate) Public Utilities,Western,www.eastman.com,200 S. Wilcox Dr.  B-280,,,Kingsport,TN,37662
Eastover Solar LLC,C011618,"130 Roberts Street, Asheville, NC 28801",FPA (Market Based Rate) Public Utilities,Western,https://pinegaterenewables.com,130 Roberts Street,,,Asheville,NC,28801
eBay Inc.,C003531,"2145 Hamilton Ave., San Jose, CA 84020",FPA (Market Based Rate) Public Utilities,Western,www.ebay.com,2145 Hamilton Ave.,,,San Jose,CA,84020
"EBC Energy, LLC",C003325,"104 Jay Drive, Rockville, MD 20850",FPA (Market Based Rate) Public Utilities,Western,www.ebcenergy.net,104 Jay Drive,,,Rockville,MD,20850
EBD Global LLC,C008828,"698 NW York Drive, Bend, OR 97703",FPA (Market Based Rate) Public Utilities,Western,www.earthbydesign.com,698 NW York Drive,,,Bend,OR,97703
Ebensburg Power Company,C003493,"2840 New Germany Road, Ebensburg, PA 15931",FPA (Market Based Rate) Public Utilities,Western,www.ebensburgpower.com,2840 New Germany Road,,,Ebensburg,PA,15931
"EBRFUEL, LLC",C003340,"104 Jay Drive, Rockville, MD 20850",FPA (Market Based Rate) Public Utilities,Western,www.ebrfuel.com,104 Jay Drive,,,Rockville,MD,20850
EcoGrove Wind LLC,C002641,"c/o Acciona Energy North America Corporation 55 East Monroe Street, Suite 2900, Chicago, IL 60603",FPA (Market Based Rate) Public Utilities,Western,www.acciona.com,c/o Acciona Energy North America Corporation,"55 East Monroe Street, Suite 2900",,Chicago,IL,60603
"EconoPower, LLC",C003436,"135 West Gate Drive, Huntington, NY 11743",FPA (Market Based Rate) Public Utilities,Western,www.econopowers.com,135 West Gate Drive,,,Huntington,NY,11743
"EcoPlus Power, LLC",C010961,"134 Main Street South Suite 70G, Southbury, CT 06488",FPA (Market Based Rate) Public Utilities,Western,www.ecopluspower.com,134 Main Street South,Suite 70G,,Southbury,CT,06488
Eden Solar LLC,C004814,"sPower 2180 South 1300 East, Suite 600, Salt Lake City, UT 84106",FPA (Market Based Rate) Public Utilities,Western,www.spower.com,sPower,"2180 South 1300 East, Suite 600",,Salt Lake City,UT,84106
"EDF Industrial Power Services (IL), LLC",C001642,"4700 W. Sam Houston Parkway North Suite 250, Houston, TX 77041",FPA (Market Based Rate) Public Utilities,Western,www.edftrading.com,4700 W. Sam Houston Parkway North,Suite 250,,Houston,TX,77041
"EDF Industrial Power Services (NY), LLC",C001641,"4700 W. Sam Houston Parkway North Suite 250, Houston, TX 77041",FPA (Market Based Rate) Public Utilities,Western,www.edftrading.com,4700 W. Sam Houston Parkway North,Suite 250,,Houston,TX,77041
"EDF Industrial Power Services (OH), LLC",C003508,"4700 W. Sam Houston Parkway North - Suite 250, Houston, TX 77041",FPA (Market Based Rate) Public Utilities,Western,www.edftrading.com,4700 W. Sam Houston Parkway North - Suite 250,,,Houston,TX,77041
"EDF Spring Field WPC, LLC",C011496,"15445 Innovation Dr., San Diego, CA 92128-3432",FPA (Market Based Rate) Public Utilities,Western,www.edf-re.com,15445 Innovation Dr.,,,San Diego,CA,92128-3432
"EDF Trading North America, LLC",C001640,"601 Travis Street, Suite 1700, Houston, TX 77002",FPA (Market Based Rate) Public Utilities,Western,www.edftrading.com,"601 Travis Street, Suite 1700",,,Houston,TX,77002
"Edgecombe Genco, LLC",C001819,"1330 Connecticut Ave., N.W., Washington, DC 20036",FPA (Market Based Rate) Public Utilities,Western,www.steptoe.com/en/,"1330 Connecticut Ave., N.W.",,,Washington,DC,20036
"Edgewood Energy, LLC",C001274,"West End Campus Road Pilgrim State Hospital, Brentwood, NY 11717",FPA (Market Based Rate) Public Utilities,Western,www.jpowerusa.com,West End Campus Road Pilgrim State Hospital,,,Brentwood,NY,11717
EDPR CA Solar Park II LLC,C011453,"1501 McKinney Street Suite 1300, Houston, TX 77010",FPA (Market Based Rate) Public Utilities,Western,www.edpr.com,1501 McKinney Street,Suite 1300,,Houston,TX,77010
EDPR CA Solar Park LLC,C011455,"1501 McKinney Street Suite 1300, Houston, TX 77010",FPA (Market Based Rate) Public Utilities,Western,www.edpr.com,1501 McKinney Street,Suite 1300,,Houston,TX,77010
EDPR Scarlet I LLC,C011469,"1501 McKinney Street Suite 1300, Houston, TX 77010",FPA (Market Based Rate) Public Utilities,Western,www.edpr.com,1501 McKinney Street,Suite 1300,,Houston,TX,77010
EDPR Scarlet II BESS LLC,C012185,"1501 McKinney Street Suite 1300, Houston, TX 77010",FPA (Market Based Rate) Public Utilities,Western,www.edpr.com,1501 McKinney Street,Suite 1300,,Houston,TX,77010
EDPR Scarlet II LLC,C012184,"1501 McKinney Street Suite 1300, Houston, TX 77010",FPA (Market Based Rate) Public Utilities,Western,www.edpr.com,1501 McKinney Street,Suite 1300,,Houston,TX,77010
"EdSan 1B Group 1 Edwards, LLC",C011413,"437 Madison Avenue 22nd Floor, Suite A, New York, NY 10022",FPA (Market Based Rate) Public Utilities,Western,www.terra-gen.com,437 Madison Avenue,"22nd Floor, Suite A",,New York,NY,10022
"EdSan 1B Group 1 Sanborn, LLC",C011414,"437 Madison Avenue 22nd Floor, Suite A, New York, NY 10022",FPA (Market Based Rate) Public Utilities,Western,www.terra-gen.com,437 Madison Avenue,"22nd Floor, Suite A",,New York,NY,10022
"EdSan 1B Group 2, LLC",C011415,"437 Madison Avenue 22nd Floor, Suite A, New York, NY 10022",FPA (Market Based Rate) Public Utilities,Western,www.terra-gen.com,437 Madison Avenue,"22nd Floor, Suite A",,New York,NY,10022
"EdSan 1B Group 3 Sanborn, LLC",C011473,"437 Madison Avenue 22nd Floor, Suite A, New York, NY 10022",FPA (Market Based Rate) Public Utilities,Western,www.terra-gen.com,437 Madison Avenue,"22nd Floor, Suite A",,New York,NY,10022
"EdSan 1B Group 3, LLC",C011416,"437 Madison Avenue 22nd Floor, Suite A, New York, NY 10022",FPA (Market Based Rate) Public Utilities,Western,www.terra-gen.com,437 Madison Avenue,"22nd Floor, Suite A",,New York,NY,10022
"Edwards Sanborn Storage I, LLC",C010911,"437 Madison Avenue 22nd Floor, Suite A, New York, NY 10022",FPA (Market Based Rate) Public Utilities,Western,www.terra-gen.com,437 Madison Avenue,"22nd Floor, Suite A",,New York,NY,10022
"Edwards Sanborn Storage II, LLC",C010912,"437 Madison Avenue 22nd Floor, Suite A, New York, NY 10022",FPA (Market Based Rate) Public Utilities,Western,www.terra-gen.com,437 Madison Avenue,"22nd Floor, Suite A",,New York,NY,10022
EEC Skyhawk Lessee LLC,C011707,"c/o Excelsior Energy Capital LP 21960 Minnetonka Blvd., Suite 210, Excelsior, MN 55331",FPA (Market Based Rate) Public Utilities,Western,https://www.excelsiorcapital.com,c/o Excelsior Energy Capital LP,"21960 Minnetonka Blvd., Suite 210",,Excelsior,MN,55331
Eel River Power LLC,C001200,"2600 Capitol Ave. Suite 430, Sacramento, CA 95816",FPA (Market Based Rate) Public Utilities,Western,www.greenleaf-power.com/contact.html,2600 Capitol Ave.,Suite 430,,Sacramento,CA,95816
EF Kenilworth LLC,C005326,"c/o Atlantic Power Corporation 3 Allied Drive, Suite 220, Dedham, MA 02026",FPA (Market Based Rate) Public Utilities,Western,www.atlanticpower.com,c/o Atlantic Power Corporation,"3 Allied Drive, Suite 220",,Dedham,MA,02026
EF Oxnard LLC,C010577,"c/o Hull Street Energy, LLC 4747 Bethesda Avenue, Suite 1220, Bethesda, MD 20814",FPA (Market Based Rate) Public Utilities,Western,www.hullstreetenergy.com,"c/o Hull Street Energy, LLC","4747 Bethesda Avenue, Suite 1220",,Bethesda,MD,20814
"Effingham County Power, LLC",C002005,"9405 Arrowpoint Blvd., Charlotte, NC 28273",FPA (Market Based Rate) Public Utilities,Western,www.cogentrix.com,9405 Arrowpoint Blvd.,,,Charlotte,NC,28273
"EFS Parlin Holdings, LLC",C001434,"901 Main Avenue The Towers of Merritt River, Norwalk, CT 06851",FPA (Market Based Rate) Public Utilities,Western,www.ge.com,901 Main Avenue,The Towers of Merritt River,,Norwalk,CT,06851
"EGP Solar 1, LLC",C010765,"100 Brickstone Square Ste 300, Andover, MA 01810",FPA (Market Based Rate) Public Utilities,Western,www.enelgreenpower.com,100 Brickstone Square,Ste 300,,Andover,MA,01810
"Egypt Road Solar, LLC",C012273,"337 Log Canoe Circle, Stevensville, MD 21666",FPA (Market Based Rate) Public Utilities,Western,www.urbangridsolar.com,337 Log Canoe Circle,,,Stevensville,MD,21666
El Cabo Wind LLC,C007607,"2701 NW Vaughn Suite 300, Portland, OR 97210",FPA (Market Based Rate) Public Utilities,Western,www.avangrid.com/aboutus/renewables/ourbusiness,2701 NW Vaughn,Suite 300,,Portland,OR,97210
"El Cajon Energy, LLC",C001716,"650 Bercut Dr., Suite C, Sacramento, CA 95811",FPA (Market Based Rate) Public Utilities,Western,www.wellhead.com,"650 Bercut Dr., Suite C",,,Sacramento,CA,95811
"El Paso Marketing Company, L.L.C.",C002841,"1001 Louisiana, Houston, TX 77002",FPA (Market Based Rate) Public Utilities,Western,www.kindermorgan.com,1001 Louisiana,,,Houston,TX,77002
El Segundo Energy Center LLC,C002468,"300 Carnegie Center Suite 300, Princeton, NJ 08540",FPA (Market Based Rate) Public Utilities,Western,investor.clearwayenergy.com,300 Carnegie Center,Suite 300,,Princeton,NJ,08540
"El Segundo Power, LLC",C000793,"804 Carnegie Center, Princeton, NJ 08540-6213",FPA (Market Based Rate) Public Utilities,Western,www.nrg.com,804 Carnegie Center,,,Princeton,NJ,08540-6213
El Sol Energy Storage LLC,C011985,"One South Wacker Drive, Suite 1800, Chicago, IL 60606",FPA (Market Based Rate) Public Utilities,Western,www.invenergy.com,"One South Wacker Drive, Suite 1800",,,Chicago,IL,60606
"Electra Sparks, LLC",C011896,"1172 Evergreen Avenue, Lakewood, NJ 08701",FPA (Market Based Rate) Public Utilities,Western,www.electrasparks.com,1172 Evergreen Avenue,,,Lakewood,NJ,08701
Electrade Corporation,C000639,"P.O. Box 725, Corona Del Mar, CA 92625",FPA (Market Based Rate) Public Utilities,Western,www.sutherland.com,P.O. Box 725,,,Corona Del Mar,CA,92625
Electree LLC,C012083,"125 Park Ave 25th Floor, New York, NY 10017",FPA (Market Based Rate) Public Utilities,Western,www.electreenyc.com,125 Park Ave,25th Floor,,New York,NY,10017
"Electricity Maine, LLC",C002218,"12140 Wickchester Lane STE 100, Houston, TX 77079",FPA (Market Based Rate) Public Utilities,Western,www.electricityme.com,12140 Wickchester Lane,STE 100,,Houston,TX,77079
"Electron Hydro, LLC",C003482,"3633 Alderwood Avenue, Bellingham, WA 98228",FPA (Market Based Rate) Public Utilities,Western,www.tollhouseenergy.com,3633 Alderwood Avenue,,,Bellingham,WA,98228
"Elektrisola, Inc.",C002234,"126 High Street, Boscawen, NH 03303",FPA (Market Based Rate) Public Utilities,Western,www.felpower.com/elektrisolaincorporated/,126 High Street,,,Boscawen,NH,03303
Elektron Power LLC,C011891,"888 Prospect Street Suite 200, La Jolla, CA 92037",FPA (Market Based Rate) Public Utilities,Western,www.elektronpower.net,888 Prospect Street,Suite 200,,La Jolla,CA,92037
"Elektron Solar, LLC",C011965,"575 Fifth Avenue, 35th Floor, New York, NY 10017",FPA (Market Based Rate) Public Utilities,Western,www.desri.com,"575 Fifth Avenue, 35th Floor",,,New York,NY,10017
"Elephant Energy, LLC",C010981,"1390 Yellow Pine Ave, Boulder, CO 80304",FPA (Market Based Rate) Public Utilities,Western,www.elephantenergy.us,1390 Yellow Pine Ave,,,Boulder,CO,80304
"Elevate Renewables F7, LLC",C012115,"200 Clarendon Street 55th Floor, Boston, MA 02116",FPA (Market Based Rate) Public Utilities,Western,www.arclight.com,200 Clarendon Street,55th Floor,,Boston,MA,02116
"Elevation Energy Group, LLC",C005324,"716 Pedernales Unit A, Austin, TX 78702",FPA (Market Based Rate) Public Utilities,Western,www.Elevationeg.com,716 Pedernales,Unit A,,Austin,TX,78702
Elevation Solar C LLC,C005112,"sPower 2180 South 1300 East, Suite 600, Salt Lake City, UT 84106",FPA (Market Based Rate) Public Utilities,Western,www.spower.com,sPower,"2180 South 1300 East, Suite 600",,Salt Lake City,UT,84106
"Eleven Mile Solar Center, LLC",C012153,"401 North Michigan Avenue, Suite 501 Suite 501, Chicago, IL 60611",FPA (Market Based Rate) Public Utilities,Western,http://us.orsted.com,"401 North Michigan Avenue, Suite 501",Suite 501,,Chicago,IL,60611
"Eligo Energy NY, LLC",C003551,"201 W Lake St Suite 151, Chicago, IL 60606",FPA (Market Based Rate) Public Utilities,Western,www.eligoenergy.com,201 W Lake St,Suite 151,,Chicago,IL,60606
"Eligo Energy, LLC",C003230,"201 W Lake St Suite 151, Chicago, IL 60606",FPA (Market Based Rate) Public Utilities,Western,www.eligoenergy.com,201 W Lake St,Suite 151,,Chicago,IL,60606
"Elizabethtown Energy, LLC",C002692,"c/o Barbara Clemenhagen, Topaz Power – Asset Manager 2705 Bee Caves Road #340, Austin, TX 78746",FPA (Market Based Rate) Public Utilities,Western,www.riverstonellc.com,"c/o Barbara Clemenhagen, Topaz Power – Asset Manager",2705 Bee Caves Road #340,,Austin,TX,78746
"Elk City II Wind, LLC",C002187,"801 Pennsylvania Ave., N.W. Suite 220, Washington, DC 20004",FPA (Market Based Rate) Public Utilities,Western,www.nexteraenergyresources.com/,"801 Pennsylvania Ave., N.W.",Suite 220,,Washington,DC,20004
"Elk Hills Power, LLC",C000754,"4026 Skyline Road, Tupman, CA 93276",FPA (Market Based Rate) Public Utilities,Western,www.crc.com,4026 Skyline Road,,,Tupman,CA,93276
"Elk River Windfarm, LLC",C001518,"2701 NW Vaughn Suite 300, Portland, OR 97210",FPA (Market Based Rate) Public Utilities,Western,www.avangrid.com/aboutus/renewables/ourbusiness,2701 NW Vaughn,Suite 300,,Portland,OR,97210
Elk Wind Energy LLC,C002261,"11 East 44th Street Suite 1200, New York, NY 10017",FPA (Market Based Rate) Public Utilities,Western,www.greenbackercapital.com,11 East 44th Street,Suite 1200,,New York,NY,10017
"Elkhart County Solar Project, LLC",C012100,"422 Admiral Blvd., Kansas City, MO 64106",FPA (Market Based Rate) Public Utilities,Western,www.savionenergy.com,422 Admiral Blvd.,,,Kansas City,MO,64106
"Elkhorn Ridge Wind, LLC",C001388,"300 Carnegie Center Suite 300, Princeton, NJ 08540",FPA (Market Based Rate) Public Utilities,Western,investor.clearwayenergy.com,300 Carnegie Center,Suite 300,,Princeton,NJ,08540
"Ellwood Power, LLC",C010658,"1360 Post Oak Blvd., Houston, TX 77056",FPA (Market Based Rate) Public Utilities,Western,www.genon.com,1360 Post Oak Blvd.,,,Houston,TX,77056
Elm Creek Wind II LLC,C001520,"2701 NW Vaughn Suite 300, Portland, OR 97210",FPA (Market Based Rate) Public Utilities,Western,www.avangrid.com/aboutus/renewables/ourbusiness,2701 NW Vaughn,Suite 300,,Portland,OR,97210
"Elm Creek Wind, LLC",C001519,"2701 NW Vaughn Suite 300, Portland, OR 97210",FPA (Market Based Rate) Public Utilities,Western,www.avangrid.com/aboutus/renewables/ourbusiness,2701 NW Vaughn,Suite 300,,Portland,OR,97210
Elmore Company,C003466,"1111 South 103rd Street, Omaha, NE 68124",FPA (Market Based Rate) Public Utilities,Western,www.calenergy.com,1111 South 103rd Street,,,Omaha,NE,68124
"Elmwood Park Power, LLC",C001097,"600 Hamilton Street, Suite 600, Allentown, PA 18101",FPA (Market Based Rate) Public Utilities,Western,www.talenenergy.com,"600 Hamilton Street, Suite 600",,,Allentown,PA,18101
"ELP Stillwater Solar, LLC",C011068,"1 Thomas Circle NW Suite 700, Washington, DC 20005",FPA (Market Based Rate) Public Utilities,Western,www.rockcreekenergygroup.com,1 Thomas Circle NW,Suite 700,,Washington,DC,20005
"EME Homer City Generation, L.P.",C001389,"1750 Power Plant Road, Homer City, PA 15748",FPA (Market Based Rate) Public Utilities,Western,www.edison.com,1750 Power Plant Road,,,Homer City,PA,15748
"Emera Energy LNG, LLC",C005354,"5151 Terminal Road, Halifax, NS B3J 1A1",FPA (Market Based Rate) Public Utilities,Western,www.emeraenergy.com,5151 Terminal Road,,,Halifax,NS,B3J 1A1
Emera Energy Services Subsidiary No. 1 LLC,C001784,"5151 Terminal Road, Halifax, NS B3J 1A1",FPA (Market Based Rate) Public Utilities,Western,www.emeraenergy.com,5151 Terminal Road,,,Halifax,NS,B3J 1A1
Emera Energy Services Subsidiary No. 10 LLC,C003201,"5151 Terminal Road, Halifax, NS B3J 1A1",FPA (Market Based Rate) Public Utilities,Western,www.emeraenergy.com,5151 Terminal Road,,,Halifax,NS,B3J 1A1
Emera Energy Services Subsidiary No. 11 LLC,C005351,"5151 Terminal Road, Halifax, NS B3J 1A1",FPA (Market Based Rate) Public Utilities,Western,www.emeraenergy.com,5151 Terminal Road,,,Halifax,NS,B3J 1A1
Emera Energy Services Subsidiary No. 12 LLC,C005352,"5151 Terminal Road, Halifax, NS B3J 1A1",FPA (Market Based Rate) Public Utilities,Western,www.emeraenergy.com,5151 Terminal Road,,,Halifax,NS,B3J 1A1
Emera Energy Services Subsidiary No. 13 LLC,C005353,"5151 Terminal Road, Halifax, NS B3J 1A1",FPA (Market Based Rate) Public Utilities,Western,www.emeraenergy.com,5151 Terminal Road,,,Halifax,NS,B3J 1A1
Emera Energy Services Subsidiary No. 15 LLC,C005355,"5151 Terminal Road, Halifax, NS B3J 1A1",FPA (Market Based Rate) Public Utilities,Western,www.emeraenergy.com,5151 Terminal Road,,,Halifax,NS,B3J 1A1
Emera Energy Services Subsidiary No. 2 LLC,C001785,"5151 Terminal Road, Halifax, NS B3J 1A1",FPA (Market Based Rate) Public Utilities,Western,www.emeraenergy.com,5151 Terminal Road,,,Halifax,NS,B3J 1A1
Emera Energy Services Subsidiary No. 3 LLC,C001786,"5151 Terminal Road, Halifax, NS B3J 1A1",FPA (Market Based Rate) Public Utilities,Western,www.emeraenergy.com,5151 Terminal Road,,,Halifax,NS,B3J 1A1
Emera Energy Services Subsidiary No. 4 LLC,C001787,"5151 Terminal Road, Halifax, NS B3J 1A1",FPA (Market Based Rate) Public Utilities,Western,www.emeraenergy.com,5151 Terminal Road,,,Halifax,NS,B3J 1A1
Emera Energy Services Subsidiary No. 5 LLC,C001788,"5151 Terminal Road, Halifax, NS B3J 1A1",FPA (Market Based Rate) Public Utilities,Western,www.emeraenergy.com,5151 Terminal Road,,,Halifax,NS,B3J 1A1
Emera Energy Services Subsidiary No. 6 LLC,C003197,"5151 Terminal Road, Halifax, NS B3J 1A1",FPA (Market Based Rate) Public Utilities,Western,www.emeraenergy.com,5151 Terminal Road,,,Halifax,NS,B3J 1A1
Emera Energy Services Subsidiary No. 7 LLC,C003198,"5151 Terminal Road, Halifax, NS B3J 1A1",FPA (Market Based Rate) Public Utilities,Western,www.emeraenergy.com,5151 Terminal Road,,,Halifax,NS,B3J 1A1
Emera Energy Services Subsidiary No. 8 LLC,C003199,"5151 Terminal Road, Halifax, NS B3J 1A1",FPA (Market Based Rate) Public Utilities,Western,www.emeraenergy.com,5151 Terminal Road,,,Halifax,NS,B3J 1A1
Emera Energy Services Subsidiary No. 9 LLC,C003200,"5151 Terminal Road, Halifax, NS B3J 1A1",FPA (Market Based Rate) Public Utilities,Western,www.emeraenergy.com,5151 Terminal Road,,,Halifax,NS,B3J 1A1
"Emera Energy Services, Inc.",C001781,"5151 Terminal Road, Halifax, NS B3J 1A1",FPA (Market Based Rate) Public Utilities,Western,www.emeraenergy.com,5151 Terminal Road,,,Halifax,NS,B3J 1A1
"Emera Energy U.S. Subsidiary No. 1, Inc.",C001782,"5151 Terminal Road, Halifax, NS B3J 1A1",FPA (Market Based Rate) Public Utilities,Western,www.emeraenergy.com,5151 Terminal Road,,,Halifax,NS,B3J 1A1
"Emera Energy U.S. Subsidiary No. 2, Inc.",C001783,"5151 Terminal Road, Halifax, NS B3J 1A1",FPA (Market Based Rate) Public Utilities,Western,www.emeraenergy.com,5151 Terminal Road,,,Halifax,NS,B3J 1A1
Emerald City Renewables LLC,C004922,"4444 Westheimer Rd Suite G450, Houston, TX 77027",FPA (Market Based Rate) Public Utilities,Western,archaeaenergy.com,4444 Westheimer Rd,Suite G450,,Houston,TX,77027
"Empire Generating Co, LLC",C001876,"75 Riverside Avenue Suite 400, Rensselaer, NY 12144",FPA (Market Based Rate) Public Utilities,Western,www.bdcm.com,75 Riverside Avenue,Suite 400,,Rensselaer,NY,12144
"ENBALA Power Networks (USA), Inc.",C002542,"1515 Wynkoop St, SUITE 710, Denver, CO 80202",FPA (Market Based Rate) Public Utilities,Western,www.enbala.com,"1515 Wynkoop St, SUITE 710",,,Denver,CO,80202
Enbridge Rampion UK Ltd.,C008974,"5400 Westheimer Court, Houston, TX 77056",FPA (Market Based Rate) Public Utilities,Western,www.enbridge.com,5400 Westheimer Court,,,Houston,TX,77056
"Enel Green Power Diamond Vista Wind Project, LLC",C009061,"100 Brickstone Square, Suite 300, Andover, MA 01810",FPA (Market Based Rate) Public Utilities,Western,www.enel.com,"100 Brickstone Square, Suite 300",,,Andover,MA,01810
"Enel Green Power Hilltopper Wind, LLC",C009058,"100 Brickstone Square Suite 300, Andover, MA 01810",FPA (Market Based Rate) Public Utilities,Western,www.enel.com,100 Brickstone Square,Suite 300,,Andover,MA,01810
"Enel Green Power Rattlesnake Creek Wind Project, LLC",C009059,"100 Brickstone Square Suite 300, Andover, MA 01810",FPA (Market Based Rate) Public Utilities,Western,www.enel.com,100 Brickstone Square,Suite 300,,Andover,MA,01810
"Enel Green Power Roadrunner Solar Project II, LLC",C010504,"100 Brickstone Square Suite300, Andover, MA 01810",FPA (Market Based Rate) Public Utilities,Western,www.enel.com,100 Brickstone Square Suite300,,,Andover,MA,01810
